RUNUP_HT,DIST_FROM_SOURCE,CAUSE_CODE,TS_INTENSITY,DAMAGE_AMOUNT_ORDER
0.19,11848,0,1,1
0.13,9460,0,1,1
0.23,12307,0,1,1
0.21,16619,0,1,1
0.27,10635,0,1,1
0.08,10805,0,1,1
0.65,10743,0,1,1
0.94,708,0,1,1
0.02,11702,0,1,1
0.27,5876,0,1,1
0.77,348,0,1,1
0.15,8060,0,1,1
0.11,10890,0,1,1
0.02,12885,0,1,1
0.91,10548,0,1,1
0.22,16518,0,1,1
0.29,9704,0,1,1
0.86,3677,0,1,1
0.32,9766,0,1,1
0.36,937,0,1,1
4.67,183,0,1,1
0.95,427,0,1,1
0.25,9415,0,1,1
0.34,16712,0,1,1
0.43,5602,0,1,1
1.18,589,0,1,1
0.27,9368,0,1,1
1.14,508,0,1,1
0.76,343,0,1,1
0.2,9701,0,1,1
0.2,10136,0,1,1
0.05,12485,0,1,1
0.16,1161,0,1,1
0.49,890,0,1,1
0.17,9507,0,1,1
0.59,1463,0,1,1
0.13,13546,0,1,1
0.39,1019,0,1,1
0.18,3979,0,1,1
0.07,10715,0,1,1
0.19,12692,0,1,1
0.65,622,0,1,1
0.04,10890,0,1,1
0.11,9688,0,1,1
0.26,12876,0,1,1
0.22,12428,0,1,1
0.11,8618,0,1,1
0.52,2241,0,1,1
0.07,11205,0,1,1
0.38,695,0,1,1
0.16,8751,0,1,1
0.37,740,0,1,1
0.3,1207,0,1,1
0.2,1340,0,1,1
0.21,9388,0,1,1
0.09,11425,0,1,1
0.34,880,0,1,1
1.72,135,0,1,1
0.12,8600,0,1,1
0.12,9343,0,1,1
0.34,8900,0,1,1
0.1,12384,0,1,1
0.1,10460,0,1,1
0.12,13096,0,1,1
0.33,8856,0,1,1
0.15,11886,0,1,1
0.36,950,0,1,1
0.44,16408,0,1,1
0.25,1272,0,1,1
0.08,1548,0,1,1
0.26,9395,0,1,1
0.23,10927,0,1,1
0.1,10913,0,1,1
0.04,10730,0,1,1
0.03,11086,0,1,1
0.33,9418,0,1,1
0.04,11447,0,1,1
0.24,17444,0,1,1
0.14,16939,0,1,1
0.2,17225,0,1,1
0.2,17837,0,1,1
0.19,17703,0,1,1
0.1,18271,0,1,1
0.1,18049,0,1,1
0.66,7627,0,1,1
0.05,1383,0,1,1
0.1,3404,0,1,1
0.17,5383,0,1,1
0.07,5283,0,1,1
0.4,6342,0,1,1
0.5,15416,0,1,1
0.15,303,0,1,1
0.05,9933,0,1,1
0.3,159,0,1,1
0.18,106,0,1,1
0.06,9330,0,1,1
0.05,9349,0,1,1
0.12,9899,0,1,1
0.07,9995,0,1,1
0.08,10330,0,1,1
