RUNUP_HT,DIST_FROM_SOURCE,CAUSE_CODE,TS_INTENSITY,DAMAGE_AMOUNT_ORDER
,93,0,5,4
10,137,1,5,4
,23,1,5,4
85.4,40,1,6,4
12,131,2,4,4
24,8,0,4,4
13,249,4,3,4
8.1,3813,0,4,4
9,7,0,5,4
,219,1,4,4
3,74,1,4,4
,147,1,4,4
2,13,1,5,4
,12,1,6,4
3.6,232,0,5,4
0.78,188,,5,4
23,249,0,4,4
2.47,7544,0,4,4
8.5,154,0,,4
10,115,1,,4
24,97,2,,4
,51,2,,4
,41,2,,4
,282,8,,4
,189,1,5,4
1.9,7992,3,,4
,4,4,,4
34.5,247,0,,4
,280,0,4,3
,106,0,,3
,11,0,,3
,325,0,,3
,348,0,,3
,754,0,,3
3,19,0,,3
15.2,197,1,5,3
1.8,22,0,4,3
,0,0,,3
,840,0,,3
,31,0,,3
100,42,0,5,3
,51,0,,3
,243,0,,3
,98,0,,3
,35,0,,3
,25,0,,3
5,19,0,,3
6,11,0,3,3
,426,0,,3
,393,0,,3
,384,0,,3
,56,0,,3
,46,0,,3
,8,0,,3
,573,0,,3
,9,0,,3
,7,0,,3
4,76,0,,3
4,155,0,,3
,223,0,3,3
,2,0,,3
,12,0,,3
,39,0,,3
,48,0,,3
,649,0,,3
5,73,0,,3
2.5,126,0,,3
,86,0,,3
2,126,0,,3
10,122,0,,3
28,145,0,,3
2.5,167,0,,3
,124,0,,3
15,16,0,,3
18,72,0,,3
12,200,0,,3
,779,0,,3
3,10621,0,,3
10,76,0,,3
10,77,0,,3
9,119,0,,3
18,54,0,,3
21,178,0,,3
24,72,0,,3
3,2,0,,3
,18,0,,3
9,43,0,5,3
20,29,0,,3
,56,0,,3
9,146,0,,3
,11,0,,3
2.5,70,0,,3
6,21,0,,3
15,184,0,,3
17,94,0,,3
2.5,88,0,3,3
9.1,3783,0,3,3
10,355,0,,3
11.5,71,0,3,3
10.7,10656,0,3,3
7.62,449,0,3,3
6.1,72,0,3,3
31.7,69,0,3,3
6.1,459,0,2,3
10,98,0,2,3
,34,0,2,3
9,11,0,3,3
4.3,183,0,,3
3.2,34,0,,3
,8,0,,3
6.6,47,0,3,3
6,30,0,,3
6,63,0,,3
20,90,0,,3
8.3,139,0,3,3
7,107,0,3,3
,59,0,2,3
15,102,0,2,3
,51,0,2,3
,153,0,3,3
,269,0,,3
,29,0,,3
100,35,0,3,3
15,29,0,3,3
,218,0,2,3
,259,0,2,3
,259,0,2,3
,2470,0,3,3
,174,0,3,3
1.06,2,0,3,3
7.95,57,0,2,3
10,29,0,2,3
,1,0,2,3
,440,0,,3
,376,0,,3
15,12,0,,3
,247,0,,3
8,10,0,,3
8.5,13,0,,3
9.7,10,0,,3
13,18,0,,3
10.5,24,0,,3
,13,0,,3
,101,0,,3
8.6,48,0,,3
6.1,44,0,,3
,17,0,,3
,12,0,,3
0.8,10634,0,,3
0.9,10637,0,,3
,10597,0,,3
,14,0,,3
,3511,0,,3
,48,0,,3
,935,0,,3
,47,0,4,3
,10,0,,3
12.1,61,0,,3
8.4,189,0,,3
5,222,0,,3
,397,0,,3
,67,0,,3
19,102,0,5,3
19,124,0,,3
9.4,188,0,3,3
8,117,0,,3
15.5,153,0,,3
5,83,0,,3
,131,0,,3
,44,0,,3
,82,0,,3
,108,0,,3
,87,0,,3
,316,0,,3
8,135,0,,3
,112,0,,3
,168,0,,3
,16802,0,,3
,13,0,,3
,171,0,,3
60,14,0,,3
,1800,0,,3
8,264,0,4,3
9,257,0,4,3
7.3,44,0,3,3
7.8,73,0,,3
,17,0,,3
70,0,0,,3
70,3,0,,3
6,445,0,,3
6,1,0,,3
,59,0,2,2
,20,0,2,2
,67,0,2,2
,315,0,1,2
,200,0,3,2
,378,0,2,2
,64,0,2,2
,5,0,2,2
15.2,526,0,1,2
5.6,798,0,2,2
18.3,334,0,2,2
,4,0,2,2
,0,0,,2
16,8,0,,2
100,35,0,,2
100,27,0,,2
5.5,60,0,,2
,45,0,,2
,24,0,3,2
,475,0,,2
,167,0,,2
,189,0,,2
,118,0,,2
,126,0,,2
,17,0,,2
,151,0,,2
4,353,0,,2
,67,0,3,2
5,104,0,,2
,81,0,,2
,71,0,,2
6.1,61,0,,2
4,91,0,,2
,302,0,,2
24,119,0,,2
,50,0,,2
10,1,0,,2
5,49,0,,2
,152,0,,2
,97,0,,2
1.2,20,0,,2
,,0,,2
5.7,24,0,,2
,3,0,,2
,92,0,1,2
8,491,0,3,2
3.5,30,0,,2
,51,0,,2
25,255,0,1,2
25,197,0,1,2
,455,0,1,2
,55,0,,2
1.5,594,0,,2
,763,0,,2
7,175,0,,2
,136,0,,2
,112,0,,2
,17,0,,2
,30,0,,2
,409,0,,2
10,404,0,,2
1,449,0,,2
10,411,0,,2
,31,0,,2
6,32,0,,2
,12,0,,2
,842,0,,2
2,82,0,,2
,229,0,,2
3,101,0,,2
,7,0,,2
,106,0,,2
,150,0,,2
4.5,149,0,,2
4.5,871,0,,2
,92,0,,2
10.5,146,0,2,2
,135,0,,2
5,80,0,,2
10,146,0,,2
,159,0,,2
,150,0,,2
,107,0,,2
3.5,166,0,,2
3.5,160,0,,2
,67,0,,2
4.5,637,0,,2
,10975,0,,2
4,2,0,,2
3,53,0,,2
,0,0,,2
25,8,0,,2
25,8,0,,2
4,137,0,,2
1.2,171,0,,2
,9732,0,,2
,9746,0,,2
,942,0,,2
15,460,0,,2
2,1843,0,,2
,396,0,,2
4.5,10109,0,,2
3,10491,0,,2
4,983,0,,2
,113,0,,2
,205,0,,2
,206,0,,2
6,239,0,,2
6,147,0,,2
5,213,0,,2
6,438,0,,2
2.2,30,0,,2
3.4,28,0,,2
1.5,56,0,,2
8.3,59,0,,2
6.4,58,0,,2
1,970,0,,2
,75,0,,2
12,39,0,,2
9,42,0,,2
9,38,0,,2
1.8,25,0,,2
12,116,0,,2
7,165,0,3,2
,,0,2,2
7.6,375,0,1,2
,31,0,1,2
,105,0,,2
6,67,0,,2
3,175,0,,2
,291,0,,2
10,49,0,2,2
1.5,403,0,,2
2.5,359,0,,2
2.5,88,0,3,2
7,330,0,,2
9,349,0,,2
3.9,3635,0,1,2
15,144,0,,2
4.2,114,0,1,2
6.89,455,0,,2
,3081,0,,2
2,2905,0,,2
6.4,1938,0,1,2
,42,0,,2
0.33,144,0,,2
1.4,83,0,1,2
3,147,0,,2
10,32,0,1,2
,5,0,,2
3.4,67,0,,2
3.4,67,0,,2
7,173,0,,2
5.35,102,0,2,2
5,173,0,,2
,184,0,3,2
,57,0,,2
,11,0,,2
1,29,0,,2
1,39,0,,2
3,83,0,1,2
,3,0,,2
,13,0,1,2
,20,0,,2
,54,0,,2
,65,0,,2
,380,0,,2
15.2,396,0,3,2
,749,0,,2
,306,0,,2
,306,0,,2
11,119,0,1,2
3,39,0,,2
0.88,6298,0,,2
,20,0,,2
,47,0,,2
,271,0,,2
,360,0,,2
,397,0,,2
1,19,0,,2
,284,0,,2
7,56,0,,2
,285,0,,2
,3,0,,2
,64,0,,2
3,271,0,,2
3,329,0,,2
3,289,0,,2
,0,0,,2
,135,0,,2
3.53,92,0,,2
3.5,252,0,,2
0.11,1022,0,,2
2,126,0,,2
3.8,115,0,,2
3.2,148,0,,2
6.2,91,0,,2
0.3,953,0,,2
4.95,73,0,,2
1,17,0,,2
4.7,7,0,,2
5.7,68,0,2,2
5.7,59,0,2,2
8,17,0,2,2
8,28,0,2,2
8.4,23,0,2,2
5,6,0,1,2
5,7,0,1,2
10.3,35,0,1,2
,45,0,,2
,550,0,,2
,78,0,,2
,186,0,,2
,866,0,,2
,178,0,1,2
3,82,0,,2
,1060,0,,2
,1921,0,,2
,2174,0,,2
,37,0,,2
,2985,0,,2
,4032,0,1,2
2.34,66,0,,2
5,608,0,1,2
,308,0,1,2
,1141,0,,2
2.74,97,0,,2
,59,0,,2
,68,0,2,2
6,3,0,,2
,75,0,,2
,68,0,,2
,0,0,2,2
3,88,0,2,2
3,51,0,2,2
3,82,0,,2
,222,0,,2
,35,0,1,2
,303,0,,2
,252,0,,2
,186,0,,2
,196,0,,2
17,208,0,,2
9,217,0,,2
4.63,270,0,,2
4.2,242,0,,2
,325,0,,2
,,0,,2
,,0,,2
8.5,149,0,2,2
,162,0,2,2
,84,0,2,2
,61,0,2,2
5,216,0,2,2
,83,0,2,2
,82,0,2,2
,153,0,,2
,164,0,2,2
,152,0,2,2
1,7710,0,,2
2,8020,0,1,2
1.5,15346,0,,2
,6226,0,,2
,5959,0,,2
,5962,0,,2
,23,0,,2
,2,0,,2
,193,0,,2
,17,0,,2
,16,0,,2
5.5,244,0,,2
5.5,14,0,,2
0.9,9238,0,,2
20.1,274,0,,2
10.7,266,0,,2
,2007,0,,2
9.4,246,0,2,2
4.6,112,0,,2
7.06,84,0,,2
6.66,83,0,1,2
,,0,1,2
3,189,0,,2
,82,0,,2
,382,0,,2
,83,0,,2
,178,0,,2
3.05,8729,0,,2
1.5,8714,0,,2
1,8754,0,,2
,481,0,,2
,392,0,,2
,272,0,,2
,189,0,,2
,179,0,,2
18.4,419,0,,2
8.3,413,0,,2
5,87,0,1,2
7,113,0,1,2
,151,0,,2
,147,0,,2
,183,0,,2
,7,0,,2
,0,0,,2
2.4,19,0,,2
7.52,19,0,,2
15,0,0,,2
,303,0,,2
4.3,59,0,,2
3.55,57,0,1,2
,42,0,,1
,234,0,,1
,503,0,,1
,170,0,,1
,23,0,,1
,168,0,,1
,19,0,,1
,0,0,,1
1.8,5607,0,2,1
,1509,0,,1
0.62,1562,0,,1
6,26,0,,1
,26,0,,1
,52,0,,1
,79,0,,1
,178,0,,1
4,7,0,,1
2,78,0,,1
,4,0,,1
1.2,97,0,,1
,229,0,1,1
,245,0,1,1
,48,0,1,1
